2023-10-02 19:40:08,894.price-producer.INFO ==================================================
2023-10-02 19:40:08,894.price-producer.INFO Today is 2023-10-02 at 07:40 PM
2023-10-02 19:40:08,894.price-producer.INFO Running on: posix Darwin 22.5.0
2023-10-02 19:40:08,894.price-producer.INFO Python version:  3.11.2
2023-10-02 19:40:08,894.price-producer.INFO Python path: /Users/macbeth/Documents/Streaming Data/Module 7/streaming-07-gold-silver-prices/.venv
2023-10-02 19:40:08,894.price-producer.INFO Working dir: /Users/macbeth/Documents/Streaming Data/Module 7/streaming-07-gold-silver-prices
2023-10-02 19:40:08,894.price-producer.INFO ==================================================
2023-10-02 19:40:10,423.price-producer.INFO Offer to monitor RabbitMQ queues.
2023-10-02 19:40:10,588.price-producer.INFO Answer is y.
2023-10-02 19:40:10,641.price-producer.INFO Skipped header row
2023-10-02 20:10:41,100.price-producer.INFO [x] Sent ('11/12/13', '1281.4') to 01-gold
2023-10-02 20:10:41,101.price-producer.INFO [x] Sent ('11/12/13', '21.345') to 02-silver
2023-10-02 20:11:11,113.price-producer.INFO [x] Sent ('11/13/13', '1265.3') to 01-gold
2023-10-02 20:11:11,113.price-producer.INFO [x] Sent ('11/13/13', '20.7') to 02-silver
2023-10-02 20:11:41,125.price-producer.INFO [x] Sent ('11/14/13', '1281.4') to 01-gold
2023-10-02 20:11:41,126.price-producer.INFO [x] Sent ('11/14/13', '20.595') to 02-silver
2023-10-02 20:12:11,129.price-producer.INFO [x] Sent ('11/15/13', '1287') to 01-gold
2023-10-02 20:12:11,131.price-producer.INFO [x] Sent ('11/15/13', '20.755') to 02-silver
2023-10-02 20:12:41,138.price-producer.INFO [x] Sent ('11/18/13', '1288.9') to 01-gold
2023-10-02 20:12:41,138.price-producer.INFO [x] Sent ('11/18/13', '20.775') to 02-silver
2023-10-02 20:13:11,145.price-producer.INFO [x] Sent ('11/19/13', '1275') to 01-gold
2023-10-02 20:13:11,146.price-producer.INFO [x] Sent ('11/19/13', '20.395') to 02-silver
2023-10-02 20:13:41,152.price-producer.INFO [x] Sent ('11/20/13', '1249.4') to 01-gold
2023-10-02 20:13:41,154.price-producer.INFO [x] Sent ('11/20/13', '20.345') to 02-silver
2023-10-02 20:14:11,158.price-producer.INFO [x] Sent ('11/21/13', '1241.8') to 01-gold
2023-10-02 20:14:11,159.price-producer.INFO [x] Sent ('11/21/13', '19.925') to 02-silver
2023-10-02 20:14:41,165.price-producer.INFO [x] Sent ('11/22/13', '1242.3') to 01-gold
2023-10-02 20:14:41,166.price-producer.INFO [x] Sent ('11/22/13', '20.02') to 02-silver
2023-10-02 20:15:11,173.price-producer.INFO [x] Sent ('11/25/13', '1230.8') to 01-gold
2023-10-02 20:15:11,173.price-producer.INFO [x] Sent ('11/25/13', '19.895') to 02-silver
2023-10-02 20:15:41,179.price-producer.INFO [x] Sent ('11/26/13', '1249.5') to 01-gold
2023-10-02 20:15:41,180.price-producer.INFO [x] Sent ('11/26/13', '20.22') to 02-silver
2023-10-02 20:16:11,186.price-producer.INFO [x] Sent ('11/27/13', '1241.1') to 01-gold
2023-10-02 20:16:11,187.price-producer.INFO [x] Sent ('11/27/13', '19.87') to 02-silver
2023-10-02 20:16:41,194.price-producer.INFO [x] Sent ('11/28/13', '1237.9') to 01-gold
2023-10-02 20:16:41,195.price-producer.INFO [x] Sent ('11/28/13', '19.682') to 02-silver
2023-10-02 20:17:11,202.price-producer.INFO [x] Sent ('11/29/13', '1244.6') to 01-gold
2023-10-02 20:17:11,203.price-producer.INFO [x] Sent ('11/29/13', '19.74') to 02-silver
2023-10-02 20:17:41,212.price-producer.INFO [x] Sent ('12/2/13', '1250.6') to 01-gold
2023-10-02 20:17:41,213.price-producer.INFO [x] Sent ('12/2/13', '19.99') to 02-silver
2023-10-02 20:18:11,222.price-producer.INFO [x] Sent ('12/3/13', '1219.5') to 01-gold
2023-10-02 20:18:11,223.price-producer.INFO [x] Sent ('12/3/13', '19.17') to 02-silver
2023-10-02 20:18:41,234.price-producer.INFO [x] Sent ('12/4/13', '1245') to 01-gold
2023-10-02 20:18:41,236.price-producer.INFO [x] Sent ('12/4/13', '19.1') to 02-silver
2023-10-02 20:19:11,242.price-producer.INFO [x] Sent ('12/5/13', '1243.1') to 01-gold
2023-10-02 20:19:11,244.price-producer.INFO [x] Sent ('12/5/13', '19.675') to 02-silver
2023-10-02 20:19:41,250.price-producer.INFO [x] Sent ('12/6/13', '1225') to 01-gold
2023-10-02 20:19:41,251.price-producer.INFO [x] Sent ('12/6/13', '19.4') to 02-silver
2023-10-02 20:20:11,256.price-producer.INFO [x] Sent ('12/9/13', '1229.9') to 01-gold
2023-10-02 20:20:11,257.price-producer.INFO [x] Sent ('12/9/13', '19.555') to 02-silver
2023-10-02 20:20:41,263.price-producer.INFO [x] Sent ('12/10/13', '1260') to 01-gold
2023-10-02 20:20:41,267.price-producer.INFO [x] Sent ('12/10/13', '19.8') to 02-silver
2023-10-02 20:21:11,269.price-producer.INFO [x] Sent ('12/11/13', '1261') to 01-gold
2023-10-02 20:21:11,271.price-producer.INFO [x] Sent ('12/11/13', '20.385') to 02-silver
2023-10-02 20:21:41,273.price-producer.INFO [x] Sent ('12/12/13', '1252.3') to 01-gold
2023-10-02 20:21:41,274.price-producer.INFO [x] Sent ('12/12/13', '20.305') to 02-silver
2023-10-02 20:22:11,279.price-producer.INFO [x] Sent ('12/13/13', '1226.1') to 01-gold
2023-10-02 20:22:11,280.price-producer.INFO [x] Sent ('12/13/13', '19.475') to 02-silver
2023-10-02 20:22:41,287.price-producer.INFO [x] Sent ('12/16/13', '1237.3') to 01-gold
